scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
1.963801e-13,6.8343785e-12,-2.3532948e-11,-3.2802996e-11,-7.06149e-12,2.7299408e-11,5.2034214e-11,5.6437393e-11,6.453456e-11,8.982224e-11,Clarinet
1.5845855e-15,-8.8205586e-14,-4.258946e-12,1.1058808e-11,2.1019273e-11,-8.296414e-12,-5.6060954e-11,-7.187596e-11,-7.254662e-11,-5.5027406e-11,Clarinet
-2.7097956e-11,3.7442622e-11,8.820022e-11,1.15513654e-10,8.878855e-12,-1.841313e-10,-2.8421077e-10,-1.059923e-10,-3.3237767e-11,-1.3189833e-10,Clarinet
1.2834416e-11,-1.0212177e-11,-6.607918e-11,-4.3263008e-11,-1.1455604e-11,-9.878128e-12,1.6314587e-11,7.344975e-11,1.2513418e-10,1.0444149e-10,Clarinet
2.0959603e-13,6.332207e-12,-8.682213e-12,-2.5210395e-11,-5.479116e-11,-5.677158e-11,-2.823692e-11,-6.2040525e-12,-5.00566e-11,-1.8739663e-11,Clarinet
-3.632317e-13,-1.8366997e-11,2.987649e-12,-6.178403e-12,-8.963279e-12,4.259527e-11,9.9388844e-11,1.2702535e-10,-1.9706294e-11,-2.1577365e-10,Clarinet
1.3112559e-11,-1.8083184e-11,-4.1021995e-11,-3.8453404e-11,-4.482237e-11,3.1656098e-11,1.02505684e-10,1.9864147e-11,-5.2600105e-11,-1.4404472e-10,Clarinet
2.7473092e-14,-6.6644836e-12,-1.3508161e-11,-1.2901341e-11,-1.2126322e-10,-1.771179e-10,-5.75871e-12,2.833263e-10,8.88966e-11,-3.7858303e-10,Clarinet
7.408733e-14,-5.9027882e-12,7.693623e-12,2.3774703e-11,6.192663e-11,3.656982e-11,-1.0105607e-10,-1.7624804e-10,1.606406e-10,5.713265e-10,Clarinet
3.503533e-15,-4.0232935e-13,1.0625348e-13,-1.2121849e-11,-4.2191823e-11,-5.6819858e-11,1.125862e-12,8.2356226e-11,1.14298196e-10,1.13786786e-10,Clarinet
-4.893314e-13,-1.8081557e-11,-6.518529e-12,1.5449144e-11,7.37891e-11,1.225436e-10,1.0372478e-10,5.019254e-11,-7.45996e-13,-5.367001e-11,Clarinet
